시각,종목코드,종목명,현재가,누적거래량
12:21,005930,삼성전자,274000,12769286
12:21,000660,SK하이닉스,1876000,1498449
12:21,005935,삼성전자우,208000,2683403
12:21,402340,SK스퀘어,1130000,282742
12:21,009150,삼성전기,1419000,305484
12:21,373220,LG에너지솔루션,354000,201014
12:21,005380,현대차,360500,209872
12:21,207940,삼성바이오로직스,1401000,9945
12:21,105560,KB금융,178600,371217
12:21,028260,삼성물산,368500,155207
12:21,032830,삼성생명,292500,185192
12:21,012450,한화에어로스페이스,1072000,61018
12:21,034020,두산에너빌리티,85600,983918
12:21,055550,신한지주,113700,454978
12:21,329180,HD현대중공업,451000,67422
12:21,000270,기아,120200,346790
12:21,006400,삼성SDI,534000,155824
12:21,068270,셀트리온,181700,117063
12:21,034730,SK,576000,54092
12:21,086790,하나금융지주,136000,239213
12:21,012330,현대모비스,373500,109346
12:21,066570,LG전자,201000,218903
12:21,010120,LS ELECTRIC,208250,173544
12:21,035420,NAVER,197800,287030
12:21,000810,삼성화재,653000,19264
12:21,298040,효성중공업,2909000,15181
12:21,316140,우리금융지주,36600,604905
12:21,267260,HD현대일렉트릭,718000,26805
12:21,005490,POSCO홀딩스,320000,84675
12:21,042660,한화오션,82100,263595
12:21,009540,HD한국조선해양,338000,55437
12:21,096770,SK이노베이션,140100,341346
12:21,010130,고려아연,1129000,4799
12:21,000150,두산,1426000,49491
12:21,042700,한미반도체,237500,189835
12:21,138040,메리츠금융지주,129900,71076
12:21,015760,한국전력,30900,380045
12:21,011200,HMM,20950,201032
12:21,017670,SK텔레콤,87700,326742
12:21,051910,LG화학,261500,74116
12:21,010140,삼성중공업,20600,1004164
12:21,033780,KT&G,174350,82871
12:21,196170,알테오젠,256500,109825
12:21,010950,S-Oil,153700,161509
12:21,018260,삼성에스디에스,224500,69161
12:21,006800,미래에셋증권,31750,338713
12:21,003550,LG,111600,59380
12:21,267250,HD현대,211000,71833
12:21,079550,LIG디펜스앤에어로스페이스,743000,100123
12:21,024110,기업은행,20150,255019
12:21,003670,포스코퓨처엠,178400,125782
12:21,086280,현대글로비스,201500,76536
12:21,272210,한화시스템,78200,1179692
12:21,035720,카카오,33400,651231
12:21,000720,현대건설,126700,233187
12:21,278470,에이피알,367000,67336
12:21,030200,KT,53300,117554
12:21,064350,현대로템,120200,131198
12:21,047810,한국항공우주,130300,75096
12:21,005830,DB손해보험,188200,46022
12:21,011070,LG이노텍,520000,81791
12:21,086520,에코프로,79800,298165
12:21,003490,대한항공,28900,500442
12:21,078930,GS,113100,81766
12:21,443060,HD현대마린솔루션,233500,32210
12:21,071050,한국금융지주,184200,51132
12:21,028050,삼성E&A,51800,1035962
12:21,047050,포스코인터내셔널,57700,388496
12:21,247540,에코프로비엠,103000,113443
12:21,006260,LS,320000,57557
12:21,307950,현대오토에버,361500,19592
12:21,003230,삼양식품,1290000,9059
12:21,323410,카카오뱅크,20400,261548
12:21,036930,주성엔지니어링,206500,426267
12:21,005940,NH투자증권,25900,191482
12:21,000500,가온전선,311000,239769
12:21,180640,한진칼,138200,20958
12:21,259960,크래프톤,201000,25108
12:21,090430,아모레퍼시픽,146900,93498
12:21,277810,레인보우로보틱스,437000,17167
12:21,0126Z0,삼성에피스홀딩스,327500,11551
12:21,007660,이수페타시스,108200,919307
12:21,016360,삼성증권,87700,135452
12:21,047040,대우건설,18470,3514833
12:21,161390,한국타이어앤테크놀로지,59300,81257
12:21,352820,하이브,164200,67044
12:21,021240,코웨이,100100,67869
12:21,000880,한화,130500,48870
12:21,039490,키움증권,263500,13879
12:21,064400,LG씨엔에스,69700,212523
12:21,267270,HD건설기계,137800,83161
12:21,128940,한미약품,506000,19239
12:21,240810,원익IPS,129100,1132761
12:21,062040,산일전기,203500,98181
12:21,009830,한화솔루션,27750,1029408
12:21,032640,LG유플러스,14500,745155
12:21,326030,SK바이오팜,78100,44508
12:21,005387,현대차2우B,174400,63930
12:21,001440,대한전선,30000,2366129
12:21,039030,이오테크닉스,474000,41815
12:21,175330,JB금융지주,31000,139990
12:21,241560,두산밥캣,58600,68270
12:21,000100,유한양행,75900,75484
12:21,000990,DB하이텍,127300,298920
12:21,377300,카카오페이,40250,105628
12:21,058470,리노공업,69800,243316
12:21,088350,한화생명,5820,1455033
12:21,052690,한전기술,131400,186470
12:21,029780,삼성카드,43400,52613
12:21,353200,대덕전자,101600,298996
12:21,222800,심텍,129800,231908
12:21,138930,BNK금융지주,15720,276159
12:21,004020,현대제철,35050,260512
12:21,088980,맥쿼리인프라,9820,293663
12:21,454910,두산로보틱스,70100,115960
12:21,108490,로보티즈,307250,99249
12:21,051900,LG생활건강,301000,22618
12:21,403870,HPSP,54600,951569
12:21,036570,NC,207500,22259
12:21,271560,오리온,111700,34995
12:21,011790,SKC,88500,63132
12:21,066970,엘앤에프,107600,272031
12:21,034220,LG디스플레이,8570,1274952
12:21,028300,HLB,31650,834985
12:21,082740,한화엔진,50300,188289
12:21,095340,ISC,198400,95446
12:21,001450,현대해상,49200,129644
12:21,005385,현대차우,174200,45031
12:21,002380,KCC,466000,8353
12:21,319660,피에스케이,136600,296361
12:21,000250,삼천당제약,161800,29067
12:21,001040,CJ,129200,26112
12:21,087010,펩트론,159800,38769
12:21,010060,OCI홀딩스,195900,219190
12:21,031980,피에스케이홀딩스,165800,75346
12:21,103590,일진전기,72900,274649
12:21,008930,한미사이언스,50600,60317
12:21,161890,한국콜마,145200,90170
12:21,018880,한온시스템,3350,1856768
12:21,004170,신세계,361500,25457
12:21,214450,파마리서치,327000,27801
12:21,375500,DL이앤씨,85600,141463
12:21,036460,한국가스공사,35850,40812
12:21,111770,영원무역,72900,14912
12:21,084370,유진테크,140300,80092
12:21,012750,에스원,83900,16244
12:21,440110,파두,63600,135943
12:21,006360,GS건설,36700,766261
12:21,192820,코스맥스,275500,32251
12:21,336260,두산퓨얼셀,47800,569393
12:21,023530,롯데쇼핑,110100,67885
12:21,022100,포스코DX,20500,99216
12:21,028670,팬오션,5790,581857
12:21,035250,강원랜드,14330,100838
12:21,141080,리가켐바이오,81900,74342
12:21,298380,에이비엘바이오,54100,325702
12:21,011780,금호석유화학,119700,15400
12:21,064760,티씨케이,265000,22470
12:21,067310,하나마이크론,44150,5246003
12:21,031210,서울보증보험,41750,9010
12:21,017800,현대엘리베이터,74150,20187
12:21,251270,넷마블,34550,67810
12:21,139130,iM금융지주,18190,74919
12:21,131290,티에스이,259000,73995
12:21,095610,테스,146500,182869
12:21,310210,보로노이,152900,107838
12:21,302440,SK바이오사이언스,36000,31845
12:21,007340,DN오토모티브,48200,70259
12:21,010170,대한광통신,17630,10435039
12:21,004800,효성,164400,11706
12:21,011170,롯데케미칼,64250,72882
12:21,257720,실리콘투,40800,336252
12:21,097950,CJ제일제당,176600,18278
12:21,003690,코리안리,14920,57684
12:21,085620,미래에셋생명,19450,52063
12:21,145020,휴젤,208000,28352
12:21,383220,F&F,68600,30606
12:21,357780,솔브레인,338500,8816
12:21,080220,제주반도체,74950,613742
12:21,026960,동서,25550,22514
12:21,226950,올릭스,109800,126843
12:21,009420,한올바이오파마,47400,79982
12:21,450080,에코프로머티,34500,115288
12:21,004990,롯데지주,24450,30800
12:21,319400,현대무벡스,21750,883251
12:21,140410,메지온,79800,108156
12:21,282330,BGF리테일,140000,13157
12:21,004370,농심,396500,12468
12:21,005440,현대지에프홀딩스,13140,274994
12:21,032820,우리기술,13700,4390525
12:21,489790,한화비전,46600,82717
12:21,014680,한솔케미칼,216000,12086
12:21,000240,한국앤컴퍼니,24600,24443
12:21,001720,신영증권,141600,3563
12:21,005850,에스엘,49700,22881
12:21,483650,달바글로벌,182500,97852
12:21,018670,SK가스,244500,2715
12:21,204320,HL만도,47550,157756
12:21,058610,에스피지,100000,143232
12:21,103140,풍산,78800,33123
12:21,020150,롯데에너지머티리얼즈,41800,190671
12:21,263750,펄어비스,34700,102868
12:21,279570,케이뱅크,5390,236579
12:21,214370,케어젠,40550,23274
12:21,009970,영원무역홀딩스,168000,2764
12:21,069960,현대백화점,99700,32013
12:21,005290,동진쎄미켐,42100,166599
12:21,112610,씨에스윈드,50500,166347
12:21,178320,서진시스템,33050,433410
12:21,051600,한전KPS,46700,32286
12:21,030530,원익홀딩스,26750,2344729
12:21,347850,디앤디파마텍,44600,246744
12:21,081660,미스토홀딩스,38650,48122
12:21,002790,아모레퍼시픽홀딩스,26900,63853
12:21,139480,이마트,73400,35886
12:21,214150,클래시스,30800,70521
12:21,043260,성호전자,26550,4081390
12:21,030000,제일기획,17400,108592
12:21,073240,금호타이어,6940,573412
12:21,007070,GS리테일,23500,59226
12:21,457190,이수스페셜티케미컬,64500,34417
12:21,083650,비에이치아이,62300,191960
12:21,041510,에스엠,83900,54152
12:21,098460,고영,28350,533390
12:21,237690,에스티팜,91400,31560
12:21,000155,두산우,476000,11731
12:21,437730,삼현,57900,2441797
12:21,229640,LS에코에너지,59600,156655
12:21,462870,시프트업,30750,11998
12:21,181710,NHN,56100,54551
12:21,089860,롯데렌탈,49200,47725
12:21,140860,파크시스템스,253000,5077
12:21,036540,SFA반도체,10860,21077993
12:21,089030,테크윙,47400,739416
12:21,439260,대한조선,46300,14648
12:21,068760,셀트리온제약,39650,22592
12:21,071970,HD현대마린엔진,51100,59163
12:21,131970,두산테스나,89500,338720
12:21,120110,코오롱인더,57300,65188
12:21,475150,SK이터닉스,50200,306234
12:21,060370,LS마린솔루션,32600,90173
12:21,023590,다우기술,39400,7884
12:21,001120,LX인터내셔널,42250,47096
12:21,000120,CJ대한통운,70900,13775
12:21,020560,아시아나항공,7790,27248
12:21,218410,RFHIC,60100,827226
12:21,096530,씨젠,34250,136007
12:21,395400,SK리츠,5260,142458
12:21,007390,네이처셀,24600,55252
12:21,008770,호텔신라,40500,51608
12:21,006040,동원산업,35750,10807
12:21,001430,세아베스틸지주,43850,71511
12:21,294870,IPARK현대산업개발,23750,61761
12:21,183300,코미코,30200,193420
12:21,012630,HDC,25750,35550
12:21,001820,삼화콘덴서,144600,915273
12:21,281820,케이씨텍,75600,108462
12:21,093370,후성,13830,1836381
12:21,009155,삼성전기우,508000,14790
12:21,006280,녹십자,126300,12395
12:21,011210,현대위아,54200,23307
12:21,001800,오리온홀딩스,24300,18310
12:21,204270,제이앤티씨,24650,2006287
12:21,089970,브이엠,54400,224419
12:21,0009K0,에임드바이오,21600,55654
12:21,323280,태성,45600,67733
12:21,241710,코스메카코리아,130800,27332
12:21,078600,대주전자재료,88100,88068
12:21,298020,효성티앤씨,320500,2956
12:21,039200,오스코텍,36150,44186
12:21,097230,HJ중공업,15250,136121
12:21,420770,기가비스,108100,47750
12:21,035900,JYP Ent.,38400,62740
12:21,005070,코스모신소재,40950,38157
12:21,00680K,미래에셋증권2우B,10510,85465
12:21,322000,HD현대에너지솔루션,118900,242311
12:21,361610,SK아이이테크놀로지,16150,153201
12:21,082920,비츠로셀,29200,70141
12:21,950160,코오롱티슈진,15330,623787
12:21,007310,오뚜기,317000,1051
12:21,069620,대웅제약,109200,4121
12:21,007810,코리아써키트,52200,59255
12:21,003540,대신증권,26350,23972
12:21,415640,KB발해인프라,10170,99594
12:21,192080,더블유게임즈,58600,10345
12:21,001740,SK네트웍스,6150,435203
12:21,290650,엘앤씨바이오,45600,24559
12:21,003380,하림지주,10940,200760
12:21,127120,제이에스링크,33150,195930
12:21,000815,삼성화재우,406500,4635
12:21,347700,스피어,23400,669288
12:21,300720,한일시멘트,16270,22712
12:21,066575,LG전자우,69500,38003
12:21,280360,롯데웰푸드,127500,4580
12:21,330590,롯데리츠,4055,82123
12:21,004000,롯데정밀화학,44650,23555
12:21,030610,교보증권,10030,8047
12:21,232140,와이씨,13980,8142488
12:21,166090,하나머티리얼즈,56200,61221
12:21,000210,DL,52800,15043
12:48,005930,삼성전자,274000,13914038
12:48,000660,SK하이닉스,1874000,1594229
12:48,005935,삼성전자우,208000,2788955
12:48,402340,SK스퀘어,1129500,301713
12:48,009150,삼성전기,1419000,317745
12:48,373220,LG에너지솔루션,353500,205341
12:48,005380,현대차,359500,230601
12:48,207940,삼성바이오로직스,1401000,10779
12:48,105560,KB금융,178200,388251
12:48,028260,삼성물산,366750,164364
12:48,032830,삼성생명,292000,190896
12:48,012450,한화에어로스페이스,1072000,63621
12:48,034020,두산에너빌리티,85400,1031693
12:48,055550,신한지주,113500,473426
12:48,329180,HD현대중공업,450500,71460
12:48,000270,기아,119800,367159
12:48,006400,삼성SDI,532000,163011
12:48,068270,셀트리온,181600,126603
12:48,034730,SK,574000,56724
12:48,086790,하나금융지주,135600,249647
12:48,012330,현대모비스,373000,115547
12:48,066570,LG전자,200250,231949
12:48,010120,LS ELECTRIC,207500,177240
12:48,035420,NAVER,197900,311360
12:48,000810,삼성화재,652000,20091
12:48,298040,효성중공업,2909000,15787
12:48,316140,우리금융지주,36500,624810
12:48,267260,HD현대일렉트릭,717000,28034
12:48,005490,POSCO홀딩스,320000,87606
12:48,042660,한화오션,82000,275696
12:48,009540,HD한국조선해양,338000,60362
12:48,096770,SK이노베이션,140200,355656
12:48,010130,고려아연,1127000,5040
12:48,000150,두산,1426000,51445
12:48,042700,한미반도체,237500,195965
12:48,138040,메리츠금융지주,129200,82155
12:48,015760,한국전력,30850,404147
12:48,011200,HMM,20950,226163
12:48,017670,SK텔레콤,87700,349021
12:48,051910,LG화학,261500,77067
12:48,010140,삼성중공업,20550,1107258
12:48,033780,KT&G,174200,85438
12:48,196170,알테오젠,257000,116011
12:48,010950,S-Oil,154300,173133
12:48,018260,삼성에스디에스,224000,72456
12:48,006800,미래에셋증권,31700,356643
12:48,003550,LG,111300,62388
12:48,267250,HD현대,210500,74042
12:48,079550,LIG디펜스앤에어로스페이스,740000,102787
12:48,024110,기업은행,20150,265477
12:48,003670,포스코퓨처엠,178100,130593
12:48,086280,현대글로비스,201000,82627
12:48,272210,한화시스템,78000,1216527
12:48,035720,카카오,33350,693997
12:48,000720,현대건설,126500,246051
12:48,278470,에이피알,366500,70818
12:48,030200,KT,53400,131627
12:48,064350,현대로템,120100,139077
12:48,047810,한국항공우주,130300,79839
12:48,005830,DB손해보험,188000,50872
12:48,011070,LG이노텍,520000,86681
12:48,086520,에코프로,79800,305690
12:48,003490,대한항공,28850,592544
12:48,078930,GS,113500,89599
12:48,443060,HD현대마린솔루션,233500,33730
12:48,071050,한국금융지주,183500,55254
12:48,028050,삼성E&A,51700,1074126
12:48,047050,포스코인터내셔널,57800,399882
12:48,247540,에코프로비엠,103000,121088
12:48,006260,LS,319500,58962
12:48,307950,현대오토에버,361500,20903
12:48,003230,삼양식품,1291000,9591
12:48,323410,카카오뱅크,20375,273668
12:48,036930,주성엔지니어링,206750,441218
12:48,005940,NH투자증권,25950,207347
12:48,000500,가온전선,311500,244477
12:48,180640,한진칼,138300,22591
12:48,259960,크래프톤,200000,27141
12:48,090430,아모레퍼시픽,145900,105196
12:48,277810,레인보우로보틱스,438500,19654
12:48,0126Z0,삼성에피스홀딩스,328000,12210
12:48,007660,이수페타시스,108300,941142
12:48,016360,삼성증권,87600,144285
12:48,047040,대우건설,18480,3626882
12:48,161390,한국타이어앤테크놀로지,59100,94241
12:48,352820,하이브,164400,72416
12:48,021240,코웨이,99600,71173
12:48,000880,한화,130200,51171
12:48,039490,키움증권,263000,15701
12:48,064400,LG씨엔에스,69650,227764
12:48,267270,HD건설기계,137100,97198
12:48,128940,한미약품,509000,20063
12:48,240810,원익IPS,129400,1167921
12:48,062040,산일전기,204250,103054
12:48,009830,한화솔루션,27650,1074178
12:48,032640,LG유플러스,14470,786639
12:48,326030,SK바이오팜,77900,47014
12:48,005387,현대차2우B,173900,70555
12:48,001440,대한전선,29900,2525383
12:48,039030,이오테크닉스,474000,43056
12:48,175330,JB금융지주,31000,151113
12:48,241560,두산밥캣,58400,72321
12:48,000100,유한양행,75900,82116
12:48,000990,DB하이텍,128000,317400
12:48,377300,카카오페이,40250,112865
12:48,058470,리노공업,69800,258921
12:48,088350,한화생명,5810,1502123
12:48,052690,한전기술,131700,193858
12:48,029780,삼성카드,43400,55498
12:48,353200,대덕전자,101500,315614
12:48,222800,심텍,129900,245304
12:48,138930,BNK금융지주,15720,306886
12:48,004020,현대제철,35300,288685
12:48,088980,맥쿼리인프라,9810,321531
12:48,454910,두산로보틱스,69900,123717
12:48,108490,로보티즈,308000,102436
12:48,051900,LG생활건강,301000,25445
12:48,403870,HPSP,54800,978890
12:48,036570,NC,207000,23876
12:48,271560,오리온,111500,37261
12:48,011790,SKC,88400,65935
12:48,066970,엘앤에프,107000,287019
12:48,034220,LG디스플레이,8550,1362206
12:48,028300,HLB,32000,884794
12:48,082740,한화엔진,50100,202015
12:48,095340,ISC,199200,101581
12:48,001450,현대해상,49100,133051
12:48,005385,현대차우,173700,50995
12:48,002380,KCC,465500,8934
12:48,319660,피에스케이,136300,303948
12:48,000250,삼천당제약,162600,31526
12:48,001040,CJ,128900,29083
12:48,087010,펩트론,160600,41527
12:48,010060,OCI홀딩스,195600,231971
12:48,031980,피에스케이홀딩스,166300,79562
12:48,103590,일진전기,73000,287812
12:48,008930,한미사이언스,50500,62782
12:48,161890,한국콜마,145200,95965
12:48,018880,한온시스템,3345,1942745
12:48,004170,신세계,361000,27277
12:48,214450,파마리서치,326500,29537
12:48,375500,DL이앤씨,85500,153381
12:48,036460,한국가스공사,35800,43042
12:48,111770,영원무역,72200,16700
12:48,084370,유진테크,140500,82969
12:48,012750,에스원,83800,16830
12:48,440110,파두,63900,141314
12:48,006360,GS건설,36700,801771
12:48,192820,코스맥스,275000,34447
12:48,336260,두산퓨얼셀,47800,608797
12:48,023530,롯데쇼핑,110300,74414
12:48,022100,포스코DX,20550,106760
12:48,028670,팬오션,5790,607076
12:48,035250,강원랜드,14350,110306
12:48,141080,리가켐바이오,81900,81445
12:48,298380,에이비엘바이오,54100,346149
12:48,011780,금호석유화학,119900,16763
12:48,064760,티씨케이,265500,23934
12:48,067310,하나마이크론,44100,5332476
12:48,031210,서울보증보험,41750,9916
12:48,017800,현대엘리베이터,74100,21948
12:48,251270,넷마블,34600,73911
12:48,139130,iM금융지주,18170,81340
12:48,131290,티에스이,259000,77267
12:48,095610,테스,145900,188427
12:48,310210,보로노이,153500,111695
12:48,302440,SK바이오사이언스,35950,33009
12:48,007340,DN오토모티브,48050,75106
12:48,010170,대한광통신,17650,10689830
12:48,004800,효성,163000,12737
12:48,011170,롯데케미칼,64200,79129
12:48,257720,실리콘투,40800,384272
12:48,097950,CJ제일제당,176300,18897
12:48,003690,코리안리,14970,64828
12:48,085620,미래에셋생명,19480,54139
12:48,145020,휴젤,207500,32020
12:48,383220,F&F,68600,32870
12:48,357780,솔브레인,338500,9133
12:48,080220,제주반도체,75000,628767
12:48,026960,동서,25500,25915
12:48,226950,올릭스,111000,132712
12:48,009420,한올바이오파마,47400,87462
12:48,450080,에코프로머티,34550,117965
12:48,004990,롯데지주,24350,33980
12:48,319400,현대무벡스,21850,913635
12:48,140410,메지온,79700,118414
12:48,282330,BGF리테일,139800,14350
12:48,004370,농심,397000,13886
12:48,005440,현대지에프홀딩스,13230,301415
12:48,032820,우리기술,13690,4489966
12:48,489790,한화비전,46800,92675
12:48,014680,한솔케미칼,216000,13093
12:48,000240,한국앤컴퍼니,24500,27438
12:48,001720,신영증권,141900,3648
12:48,005850,에스엘,49900,23842
12:48,483650,달바글로벌,182400,103266
12:48,018670,SK가스,244500,3014
12:48,204320,HL만도,47450,164047
12:48,058610,에스피지,100000,153841
12:48,103140,풍산,78700,34332
12:48,020150,롯데에너지머티리얼즈,41650,198208
12:48,263750,펄어비스,34800,111729
12:48,279570,케이뱅크,5400,247945
12:48,214370,케어젠,40550,24884
12:48,009970,영원무역홀딩스,167200,3130
12:48,069960,현대백화점,100000,34509
12:48,005290,동진쎄미켐,42250,171205
12:48,112610,씨에스윈드,50600,171453
12:48,178320,서진시스템,33000,472243
12:48,051600,한전KPS,46650,34018
12:48,030530,원익홀딩스,26800,2394826
12:48,347850,디앤디파마텍,44700,260189
12:48,081660,미스토홀딩스,38700,51140
12:48,002790,아모레퍼시픽홀딩스,26750,69341
12:48,139480,이마트,73400,37116
12:48,214150,클래시스,30800,75172
12:48,043260,성호전자,26500,4194747
12:48,030000,제일기획,17370,117275
12:48,073240,금호타이어,6905,631037
12:48,007070,GS리테일,23450,64423
12:48,457190,이수스페셜티케미컬,64500,35338
12:48,083650,비에이치아이,62200,205488
12:48,041510,에스엠,84500,58274
12:48,098460,고영,28350,550786
12:48,237690,에스티팜,91200,33865
12:48,000155,두산우,476000,12100
12:48,437730,삼현,58200,2663915
12:48,229640,LS에코에너지,60200,170069
12:48,462870,시프트업,30800,13584
12:48,181710,NHN,55800,60741
12:48,089860,롯데렌탈,49200,49846
12:48,140860,파크시스템스,252500,5464
12:48,036540,SFA반도체,10900,21687814
12:48,089030,테크윙,47500,762934
12:48,439260,대한조선,46300,15571
12:48,068760,셀트리온제약,39600,23291
12:48,071970,HD현대마린엔진,51100,62280
12:48,131970,두산테스나,89600,345012
12:48,120110,코오롱인더,57300,68094
12:48,475150,SK이터닉스,50100,324530
12:48,060370,LS마린솔루션,32600,94675
12:48,023590,다우기술,39400,8181
12:48,001120,LX인터내셔널,42250,52581
12:48,000120,CJ대한통운,70800,14957
12:48,020560,아시아나항공,7730,28648
12:48,218410,RFHIC,60200,848512
12:48,096530,씨젠,34250,140775
12:48,395400,SK리츠,5270,151983
12:48,007390,네이처셀,24700,57846
12:48,008770,호텔신라,40450,55278
12:48,006040,동원산업,35750,11236
12:48,001430,세아베스틸지주,43800,74843
12:48,294870,IPARK현대산업개발,23750,63474
12:48,183300,코미코,30350,200440
12:48,012630,HDC,25900,38724
12:48,001820,삼화콘덴서,145200,927278
12:48,281820,케이씨텍,75600,113890
12:48,093370,후성,13850,1937665
12:48,009155,삼성전기우,510000,15392
12:48,006280,녹십자,126400,13453
12:48,011210,현대위아,53800,25593
12:48,001800,오리온홀딩스,24200,20326
12:48,204270,제이앤티씨,24750,2037309
12:48,089970,브이엠,54400,230742
12:48,0009K0,에임드바이오,21750,62559
12:48,323280,태성,45500,74086
12:48,241710,코스메카코리아,130700,28603
12:48,078600,대주전자재료,88400,89778
12:48,298020,효성티앤씨,320500,3206
12:48,039200,오스코텍,36050,47796
12:48,097230,HJ중공업,15170,145166
12:48,420770,기가비스,108100,49755
12:48,035900,JYP Ent.,38500,64160
12:48,005070,코스모신소재,40950,39143
